geneid,genename
ENSMUSG00000001017,Chtop
ENSMUSG00000030779,Rbbp6
ENSMUSG00000025967,Eef1b2
ENSMUSG00000040940,Arhgef1
ENSMUSG00000021250,Fos
ENSMUSG00000021252,0610007P14Rik
ENSMUSG00000073481,Marc2
ENSMUSG00000029802,Abcg2
ENSMUSG00000022033,Pbk
ENSMUSG00000040435,Ppp1r15a
ENSMUSG00000026511,Srp9
ENSMUSG00000030559,Rab38
ENSMUSG00000006304,Arpc2
ENSMUSG00000040945,Rcc2
ENSMUSG00000030805,Stx4a
ENSMUSG00000026281,Dtymk
ENSMUSG00000041890,Git2
ENSMUSG00000004626,Stxbp2
ENSMUSG00000026192,Atic
ENSMUSG00000090000,Ier3ip1
ENSMUSG00000062210,Tnfaip8
ENSMUSG00000061904,Slc25a3
ENSMUSG00000030157,Clec2d
ENSMUSG00000027937,Jtb
ENSMUSG00000040236,Trappc5
ENSMUSG00000031954,Cfdp1
ENSMUSG00000026605,Cenpf
ENSMUSG00000031950,Gabarapl2
ENSMUSG00000032946,Rasgrp2
ENSMUSG00000000486,Sept1
ENSMUSG00000020390,Ube2b
ENSMUSG00000060019,Gm10073
ENSMUSG00000028382,Ptbp3
ENSMUSG00000042541,Shfm1
ENSMUSG00000046668,Cxxc5
ENSMUSG00000038965,Ube2l3
ENSMUSG00000074129,Rpl13a
ENSMUSG00000069565,Dazap1
ENSMUSG00000032596,Uba7
ENSMUSG00000028070,Apoa1bp
ENSMUSG00000034994,Eef2
ENSMUSG00000015806,Qdpr
ENSMUSG00000015804,Med28
ENSMUSG00000009549,Srp14
ENSMUSG00000066456,Hmgn3
ENSMUSG00000028478,Clta
ENSMUSG00000059895,Ptp4a3
ENSMUSG00000020719,Ddx5
ENSMUSG00000002058,Unc119
ENSMUSG00000039105,Atp6v1g1
ENSMUSG00000070034,Sp110
ENSMUSG00000052384,Nrros
ENSMUSG00000006740,Kif5b
ENSMUSG00000015932,Dstn
ENSMUSG00000028729,Ebna1bp2
ENSMUSG00000015937,H2afy
ENSMUSG00000056116,H2-T22
ENSMUSG00000017778,Cox7c
ENSMUSG00000046330,Rpl37a
ENSMUSG00000022820,Ndufb4
ENSMUSG00000037742,Eef1a1
ENSMUSG00000033220,Rac2
ENSMUSG00000033880,Lgals3bp
ENSMUSG00000017221,Psmd3
ENSMUSG00000033228,Scaf11
ENSMUSG00000017428,Psmd11
ENSMUSG00000017421,Zfp207
ENSMUSG00000000581,C1d
ENSMUSG00000020483,Dynll2
ENSMUSG00000065947,mt-Nd4l
ENSMUSG00000022824,Muc13
ENSMUSG00000028497,Hacd4
ENSMUSG00000032067,Pts
ENSMUSG00000032288,Imp3
ENSMUSG00000002985,Apoe
ENSMUSG00000044408,Sptssa
ENSMUSG00000059878,Zfp422
ENSMUSG00000039968,Rsbn1l
ENSMUSG00000014195,Dnajc7
ENSMUSG00000079197,Psme2
ENSMUSG00000031207,Msn
ENSMUSG00000008140,Emc10
ENSMUSG00000031754,Nudt21
ENSMUSG00000024399,Ltb
ENSMUSG00000034192,Lsm3
ENSMUSG00000031839,Hsbp1
ENSMUSG00000000740,Rpl13
ENSMUSG00000005610,Eif4g2
ENSMUSG00000027752,Exosc8
ENSMUSG00000027940,Tpm3
ENSMUSG00000030161,Gabarapl1
ENSMUSG00000027469,Tpx2
ENSMUSG00000015120,Ube2i
ENSMUSG00000062328,Rpl17
ENSMUSG00000019471,Cdc37
ENSMUSG00000027706,Sec62
ENSMUSG00000027708,Dcun1d1
ENSMUSG00000055553,Kxd1
ENSMUSG00000030189,Ybx3
ENSMUSG00000020863,Luc7l3
ENSMUSG00000027012,Dync1i2
ENSMUSG00000003873,Bax
ENSMUSG00000026496,Parp1
ENSMUSG00000018819,Lsp1
ENSMUSG00000027364,Usp50
ENSMUSG00000021427,Ssr1
ENSMUSG00000041203,2310036O22Rik
ENSMUSG00000021764,Ndufs4
ENSMUSG00000063480,Nhp2l1
ENSMUSG00000036594,H2-Aa
ENSMUSG00000059534,Uqcr10
ENSMUSG00000027160,Ccdc34
ENSMUSG00000031765,Mt1
ENSMUSG00000031347,Cetn2
ENSMUSG00000028651,Ppie
ENSMUSG00000029632,Ndufa4
ENSMUSG00000029254,Stap1
ENSMUSG00000029705,Cux1
ENSMUSG00000020402,Vdac1
ENSMUSG00000026500,Cox20
ENSMUSG00000039218,Srrm2
ENSMUSG00000021131,Erh
ENSMUSG00000021134,Srsf5
ENSMUSG00000068874,Selenbp1
ENSMUSG00000021282,Eif5
ENSMUSG00000049775,Tmsb4x
ENSMUSG00000031785,Adgrg1
ENSMUSG00000056394,Lig1
ENSMUSG00000026547,Tagln2
ENSMUSG00000006699,Cdc42
ENSMUSG00000063888,Rpl7l1
ENSMUSG00000020530,Ggnbp2
ENSMUSG00000063882,Uqcrh
ENSMUSG00000073616,Myeov2
ENSMUSG00000066149,Cdc26
ENSMUSG00000090258,Churc1
ENSMUSG00000018287,Spag7
ENSMUSG00000063316,Rpl27
ENSMUSG00000026385,Dbi
ENSMUSG00000022000,Zc3h13
ENSMUSG00000037740,Mrps26
ENSMUSG00000055943,Emc7
ENSMUSG00000075266,Cenpw
ENSMUSG00000062908,Acadm
ENSMUSG00000035011,Zbtb7a
ENSMUSG00000028447,Dctn3
ENSMUSG00000049960,Mrps16
ENSMUSG00000064370,mt-Cytb
ENSMUSG00000016541,Atxn10
ENSMUSG00000028044,Cks1b
ENSMUSG00000035478,Mbd3
ENSMUSG00000035674,Ndufa3
ENSMUSG00000008822,Acyp1
ENSMUSG00000021114,Atp6v1d
ENSMUSG00000025364,Pa2g4
ENSMUSG00000025362,Rps26
ENSMUSG00000032050,Rdx
ENSMUSG00000020708,Psmc5
ENSMUSG00000029405,G3bp2
ENSMUSG00000006732,Mettl1
ENSMUSG00000025381,Cnpy2
ENSMUSG00000029390,Tmed2
ENSMUSG00000028716,Pdzk1ip1
ENSMUSG00000028861,Mrps15
ENSMUSG00000034614,Pik3ip1
ENSMUSG00000029621,Arpc1a
ENSMUSG00000029622,Arpc1b
ENSMUSG00000029623,Pdap1
ENSMUSG00000020849,Ywhae
ENSMUSG00000020671,Rab10
ENSMUSG00000029713,Gnb2
ENSMUSG00000022831,Hcls1
ENSMUSG00000020069,Hnrnph3
ENSMUSG00000054405,Dnajc8
ENSMUSG00000096145,Vkorc1
ENSMUSG00000061119,Prcp
ENSMUSG00000061111,Fam195b
ENSMUSG00000036733,Rbm42
ENSMUSG00000001289,Pfdn5
ENSMUSG00000036186,Fam69b
ENSMUSG00000020267,Hint1
ENSMUSG00000020265,Sumo3
ENSMUSG00000045328,Cenpe
ENSMUSG00000024146,Cript
ENSMUSG00000039001,Rps21
ENSMUSG00000074227,Spint2
ENSMUSG00000021932,Rnaseh2b
ENSMUSG00000019872,Smpdl3a
ENSMUSG00000021939,Ctsb
ENSMUSG00000032436,Cmtm7
ENSMUSG00000063787,Chchd1
ENSMUSG00000024844,Banf1
ENSMUSG00000017781,Pitpna
ENSMUSG00000025574,Tk1
ENSMUSG00000024387,Csnk2b
ENSMUSG00000054717,Hmgb2
ENSMUSG00000029247,Paics
ENSMUSG00000031029,Eif3f
ENSMUSG00000008036,Ap2s1
ENSMUSG00000024571,Gm16286
ENSMUSG00000024208,Uqcc2
ENSMUSG00000005514,Por
ENSMUSG00000062270,Morf4l1
ENSMUSG00000041781,Cpsf2
ENSMUSG00000058655,Eif4b
ENSMUSG00000019689,1110001J03Rik
ENSMUSG00000027374,Mrps5
ENSMUSG00000007029,Vars
ENSMUSG00000062683,Atp5g2
ENSMUSG00000024576,Csnk1a1
ENSMUSG00000050621,Rps27rt
ENSMUSG00000030629,Zfand6
ENSMUSG00000056941,Commd7
ENSMUSG00000020380,Rad50
ENSMUSG00000041560,Gltscr2
ENSMUSG00000027170,Eif3m
ENSMUSG00000001403,Ube2c
ENSMUSG00000003545,Fosb
ENSMUSG00000036438,Calm2
ENSMUSG00000030751,Psma1
ENSMUSG00000024975,Pdcd4
ENSMUSG00000024974,Smc3
ENSMUSG00000038503,Mesdc2
ENSMUSG00000060675,Pla2g16
ENSMUSG00000005510,Ndufs3
ENSMUSG00000027712,Anxa5
ENSMUSG00000025439,Clns1a
ENSMUSG00000023010,Tmbim6
ENSMUSG00000029131,Dnajb6
ENSMUSG00000022708,Zbtb20
ENSMUSG00000022635,Zcrb1
ENSMUSG00000031627,Irf2
ENSMUSG00000031622,Sin3b
ENSMUSG00000090247,Bloc1s1
ENSMUSG00000055612,Cdca7
ENSMUSG00000040785,Ttc3
ENSMUSG00000048163,Selplg
ENSMUSG00000038762,Abcf1
ENSMUSG00000022010,Tsc22d1
ENSMUSG00000031807,Pgls
ENSMUSG00000026150,Mff
ENSMUSG00000026020,Nop58
ENSMUSG00000014856,Tmem208
ENSMUSG00000041417,Pik3r1
ENSMUSG00000006519,Cyba
ENSMUSG00000031715,Smarca5
ENSMUSG00000025208,Mrpl43
ENSMUSG00000004642,Slbp
ENSMUSG00000036309,Skp1a
ENSMUSG00000027953,Slc50a1
ENSMUSG00000026126,Ptpn18
ENSMUSG00000026154,Sdhaf4
ENSMUSG00000035227,Spcs2
